id,coi_check,coi_check_oi,paper_set
10.5018_economics-ejournal.ja.2017-33,"Disclosure Project CDP, 2015; own representation.",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2018-7,Also Yellen (2014); Giese et al. (2013) argue that using macroprudential policy would be the more effective and direct way while Smets (2014) emphasizes the importance of an appropriate coordination in order to avoid conflicts of interacting policies.,NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2019-18,"To characterise a firm's embeddedness in knowledge networks, we insert, firstly, a number of variables representing the intensity of use of external knowledge sources in an informal way (customers, several types of suppliers, competitors, consultancy firms, universities, other scientific institutions, generally accessible sources such as patent disclosures, trade journals, conferences, fairs, IT-networks, etc.).",NA,../_papers/economics.rds
10.5018_economics-ejournal.ja.2012-43,NA,"Social and private incentives to reduce seasonality are misaligned for ""intermediate"" levels of production costs and deseasonalization costs -the areas 1, 2 and 3 are the cases of interest, where a conflict emerges between the private and social perspectives.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2013-27,NA,"As the former Chairman of the Northern Rock Board Sir John Riddell once declared, ""I have no time for the argument that concentration on shareholder value conflicts with the interests of other stakeholders.

16 Most significantly, Competition and Credit Control meant banks no longer set their interest rates collectively.

19 The BSA cartel was originally formed to temper price competition between building societies during a period of low interest and profit margins (Boléat 1987).

The net effect of all this case law, in which the judiciary strove to develop appropriate behavioural codes and liability rules for company directors charged with stewardship of incorporated enterprise behind the veil of limited liability, was to require them to act in the best interests of the company in good faith, with absolute integrity, and with a reasonable degree of competence and professionalism.

Specifically, the challenges banks faced occurred because exuberant profit targets, justified on the basis of shareholder value, generated price competition; competition reduced net interest margins and the rate of return of banking books; and lower profit rates induced the banking system as a whole to increase the volume of debt, thus making its cumulative repayment less and less likely.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2013-31,NA,"In other words, the tariff equivalent measures, as a whole, suggest that the STE has deliberately avoided conflicting interests between enduse manufacturers and domestic producers.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2014-23,NA,"Nevertheless, a merger with role redistribution leads to conflict between private and collective interests.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2014-5,NA,"We then examine the conflict between the conservation laws that apply to commodity exchange with the exponential growth implied by capital accumulation and how these have necessitated a sequence of evolutionary forms for money, and go on to present a simple stochastic model for the formation of rates of interest and a model for the time evolution of the rate of profit.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2017-3,NA,"Actually, at an international level, there is an intergenerational conflict between young and old over two types of defensive expenditure due to their contradictory interests.",../_papers/economics.rds
10.5018_economics-ejournal.ja.2018-63,NA,"The question of the distribution of refugees among host countries, the funding of shelters in host countries near the conflict zones, and the prevention of migrations at the source through economic and social policies all test the capacity of countries to initiate joint action aiming at improving the situation of migrants and potential migrants.

Conflicts and resentments generate violent movements, such as the recent wave of Sunni terrorism in the Middle East, South-East Asia, Africa, and in the West.",../_papers/economics.rds
