text,section,header,div,p,s,id
"The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",availability,,10,1,3,0956797616634665
"1 Surely, much can be learned when psychologists go beyond hypothetical self-reports to observe real-life behavior (Baumeister, Vohs, & Funder, 2007).",intro,ASSOCIATION FOR PSYCHOLOGICAL SCIENCE,1,8,5,0956797618815482
"The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",funding,Funding,16,1,4,0956797619830329
"The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",funding,Funding,15,1,3,09567976211032676
"Behavioral consistency was originally studied in faceto-face interactions through field observations (Shoda et al., 1993) and experimental tests (Furr & Funder, 2004), but more recent evidence of behavioral consistency has come from studies of our digital lives.",abstract,Abstract,0,1,4,09567976211040491
"But although the effect of scientific-consensus communication on perceived scientific consensus was large enough to be practically relevant after a single exposure, its effect on factual beliefs was smaller and might be practically relevant only if it can be magnified (e.g., with repeated exposure; Anvari et al., in press;Funder & Ozer, 2019).",discussion,Discussion,14,2,2,09567976221083219
"Similar designs have been used successfully in previous studies on impression formation at first acquaintance (e.g., Funder et al., 1995).",method,Procedure,6,1,11,09567976221147258
The funders had no role in developing or conducting this research.,funding,Funding,27,1,3,09567976231207095
"Although these effect sizes may seem small, they are likely to be robust because they were reliably estimated independent of family-level confounding and were consistent across all six measures of adult mental health that were available in this study (Funder & Ozer, 2019;Götz et al., 2022).",discussion,Parent-reported Chaos,15,1,18,09567976241242105
This work was funded by a Netherlands Organisation for Scientific Research (NWO) Veni grant (275-70-033) to D A Sauter.,funding,Funding,3,1,1,0956797614560771
"Parallel analyses conducted on a second index of loan-request success (i.e., binary ""funded"" vs. ""not funded"" loan outcomes) yielded similar results (see the Supplemental Material available online).",method,Internet study,3,1,3,0956797615588467
Loans are funded in $25 increments but are received by the borrower only if the requested amount is successfully raised within 30 days of the initial loan request.,method,Internet study,3,2,3,0956797615588467
"We then excluded loan requests with multiple borrowers (remaining n = 127,811), to minimize heterogeneity in photograph ratings arising from variations in the size of the borrower group; loan requests without text (remaining n = 120,130), because they could not be scored with respect to affective words in the text; (c) loan requests that were fully funded within the last 3 days of eligibility (remaining n = 109,454), to limit potential confounds due to shifts in lender's motivations and behavior as the deadline for loan expiration approached; and (d) loan requests with additional missing data points (remaining n = 91,858).",method,Internet study,3,2,5,0956797615588467
"Of the remaining 91,858 loan requests, 13,500 were randomly sampled for analysis (i.e., 7,000 funded and 6,500 not funded).",method,Internet study,3,2,6,0956797615588467
"We further verified the ability of affective features to account for loan outcomes (i.e., funded or not) with classification analyses.",results,Internet study,6,4,1,0956797615588467
"Direct pairwise comparisons via bootstrapped t-test analyses indicated that requests with photographs classified as happy were funded at a higher rate than those with photographs classified as sad (the category with the next best lending rate), t(3023) = 2.02, p < .05, β = 0.133, 95% CI = [0.004, 0.263]).",results,Internet study,6,6,1,0956797615588467
"Photographs in the top decile of positive-arousal ratings were funded at $8.04 more per hour than were photographs in the bottom decile (i.e., $69.95 vs.",results,Internet study,6,7,2,0956797615588467
"This research was funded by internal grants from the Stanford Neuroscience Institute ""Big Ideas"" Initiative and the Stanford Center for Compassion and Altruism Research and Education (CCARE).",funding,Funding,10,1,1,0956797615588467
"Part of H H Bülthoff's research was supported by the Brain Korea 21 PLUS program through the National Research Foundation of Korea, funded by the Ministry of Education.",funding,Funding,12,1,2,0956797615617779
Open access for this article was funded by King's College London.,availability,,10,1,2,0956797616634665
Participants then completed the (ostensibly unrelated) government-funded vaccine-research item from Study 3.,method,Method,14,2,1,0956797616636631
"This project was funded by two grants from the Marie Skłodowska-Curie Initial Training Network (""Action research: Improving understanding and methodologies in early development"" Grant 289404 and ""Brainview"" Grant 642996), by a grant from the Developmental Social Cognition and Action Understanding Project (CACTUS) of the European Research Council (No. 312292), and by a Wallenberg Academy Fellowship (No.",funding,Funding,20,1,1,0956797616667447
"This work was funded by a Royal Society University Research Fellowship (to S-J Blakemore), by grants from the Jacobs Foundation and the Nuffield Foundation (to S-J Blakemore), and by grants from University College London and Cusanuswerk (to D Fuhrmann).",funding,Funding,22,1,1,0956797616671327
This research was funded by the Wellcome Trust (Grant RG76641) and the Isaac Newton Trust (Grant RG70368).,funding,Funding,14,1,1,0956797617694867
This research was funded by Marie Curie Action 622738 and Nederlandse Organisatie voor Wetenschappelijk Onderzoek VENI Grant 451-16-023 (to S Mathôt) and by Marie Curie Action 302807 (to K Strijkers).,funding,Funding,10,1,1,0956797617702699
S C Boyle is funded by a Biotechnology and Biological Sciences Research Council WestBio studentship.,funding,Funding,10,1,2,0956797617705391
P Fonagy is funded by a National Institute for Health Research (NIHR) Senior Investigator Award (NF-SI-0514-10157).,funding,,10,1,4,0956797617710785
J Savulescu's work on this article was funded by a Wellcome Trust grant (104848/Z/14/Z).,funding,Funding,16,1,2,0956797617737129
Funding The E-Risk Study is funded by UK Medical Research Council (MRC) Grant G1002190.,funding,,21,1,1,0956797617744542
"The Dunedin Multidisciplinary Health and Development Research Unit is funded by the New Zealand Health Research Council and the New Zealand Ministry of Business, Innovation and Employment.",funding,,21,1,2,0956797617744542
"The Department of Children and Youth Affairs funded Growing Up in Ireland, carried out by the Economic and Social Research Institute and Trinity College Dublin.",funding,Funding,16,1,2,0956797619830329
A Orben was supported by a European Union Horizon 2020 IBSEN Grant; A K Przybylski was supported by an Understanding Society Fellowship funded by the Economic and Social Research Council.,funding,Funding,16,1,3,0956797619830329
"The University of Edinburgh Centre for Cognitive Ageing and Cognitive Epidemiology is funded by the Biotechnology and Biological Sciences Research Council and Medical Research Council (MRC; MR/K026992/1), which supports I J Deary.",funding,Funding,8,1,2,0956797619833325
Generation Scotland was funded by the Scottish Government Chief Scientist Office (CZD/16/6) and Scottish Funding Council (HR03006).,funding,Funding,8,2,2,0956797619833325
"This study was funded by the Netherlands Organisation for Scientific Research (NWO Vici Grant 453-12-0010) and by a starting grant from the European Research Council (StG2012 313749), both awarded to Karin Roelofs.",funding,Funding,21,1,1,0956797619851753
This study was funded by grants from the European Research Council (ERC-2009-AdG 249425-CriticalBrainChanges) and the Deutsche Forschungsgemeinschaft (DFG Ro 2625/10-1) to B Röder.,funding,Funding,12,1,1,0956797619866625
This study was funded by the Department of Biotechnology-Indian Institute of Science (IISc) Partnership Programme and by Intermediate and Senior Fellowships from the Wellcome Trust/DBT India Alliance (all to S P Arun; Grant Nos.,funding,Funding,16,1,1,0956797619881134
"The functional MRI workshop was funded by a Tata Trusts grant, and MRI scan time required to standardize task and scanning parameters was funded by a Carnegie Mellon University-IISc BrainHub grant (both with S P Arun as co-principal investigator).",funding,Funding,16,1,3,0956797619881134
T von der Malsburg was funded through a Feodor Lynen Research Fellowship by the Alexander von Humboldt Foundation and through National Institutes of Health Grant No.,annex,Declaration of Conflicting Interests,12,2,1,0956797619890619
This study represents independent research partially funded by the National Institute for Health Research (NIHR) Biomedical Research Centre at the South London and Maudsley National Health Service (NHS) Foundation Trust and by King's College London.,funding,Funding,15,1,2,0956797620904450
High-performance computing facilities were funded with capital equipment grants from the Guy's and St.,funding,Funding,15,1,4,0956797620904450
T C Eley was partially funded by a program grant from the UK Medical Research Council (MR/M021475/1).,funding,Funding,15,1,6,0956797620904450
"T A McAdams and Y Ahmadzadeh were funded by a Sir Henry Dale Fellowship awarded to TA McAdams, jointly funded by the Wellcome Trust and the Royal Society (Grant No.",funding,Funding,15,1,8,0956797620904450
This research was funded by grants to A Aryani from the Direct Exchange Program of Freie Universität Berlin and to E S Isbilen from the National Science Foundation Graduate Research Fellowships Program (No.,funding,Funding,15,1,1,0956797620927967
This work was funded by the Leverhulme Trust (Grant No.,funding,Funding,14,1,1,0956797620929297
"This study was funded by a Jacobs Foundation Research Prize to S-J Blakemore, Wellcome Trust Grant 104908/Z/14/Z, a Royal Society Fellowship, and the Nuffield Foundation.",funding,Funding,18,1,1,0956797620957625
