id,doi,all_urls,coi_check,coi_check_oi,funding_check,funding_check_oi,open_practices,causal_claims,power,all_p_values,marginal,stat_check,stat_effect_size,stat_p_exact,stat_p_nonsig,ref_pubpeer,ref_replication,ref_retraction,ref_summary,all_urls.time,coi_check.time,coi_check_oi.time,funding_check.time,funding_check_oi.time,open_practices.time,causal_claims.time,power.time,all_p_values.time,marginal.time,stat_check.time,stat_effect_size.time,stat_p_exact.time,stat_p_nonsig.time,ref_pubpeer.time,ref_replication.time,ref_retraction.time,ref_summary.time
0956797613520608,10.1177/0956797613520608,na,green,green,green,green,red,yellow,na,info,green,green,na,green,green,Running the module produced errors: `x` and `y` must share the same src.,na,na,info,,,,,,,,,,,,,,,,,,
0956797614522816,10.1177/0956797614522816,na,green,green,green,green,red,yellow,na,info,green,green,red,green,yellow,Running the module produced errors: `x` and `y` must share the same src.,na,na,info,,,,,,,,,,,,,,,,,,
0956797614527830,10.1177/0956797614527830,info,green,green,green,green,red,yellow,na,info,green,na,na,red,green,Running the module produced errors: `x` and `y` must share the same src.,na,na,info,,,,,,,,,,,,,,,,,,
0956797614557697,10.1177/0956797614557697,info,green,green,green,green,yellow,yellow,yellow,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797614560771,10.1177/0956797614560771,na,green,green,green,green,red,green,na,info,green,green,na,red,green,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797614566469,10.1177/0956797614566469,info,green,green,red,green,red,green,na,na,green,na,na,na,green,Running the module produced errors: `x` and `y` must share the same src.,na,na,info,,,,,,,,,,,,,,,,,,
0956797615569001,10.1177/0956797615569001,info,green,green,green,green,yellow,yellow,na,info,green,green,red,red,green,Running the module produced errors: `x` and `y` must share the same src.,na,na,info,,,,,,,,,,,,,,,,,,
0956797615569889,10.1177/0956797615569889,info,green,green,green,green,yellow,yellow,yellow,info,red,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797615583071,10.1177/0956797615583071,info,green,green,green,green,yellow,green,yellow,info,green,green,red,red,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
0956797615588467,10.1177/0956797615588467,info,green,green,green,green,red,yellow,yellow,info,green,red,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797615603702,10.1177/0956797615603702,na,green,green,green,green,red,yellow,na,info,green,na,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797615615584,10.1177/0956797615615584,info,green,green,green,green,red,yellow,na,info,green,green,na,red,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
0956797615617779,10.1177/0956797615617779,info,green,green,green,green,red,yellow,na,info,red,red,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797615620784,10.1177/0956797615620784,info,green,green,red,red,yellow,yellow,yellow,info,green,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797615625973,10.1177/0956797615625973,info,green,green,green,green,red,green,yellow,info,green,green,red,green,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
0956797616631990,10.1177/0956797616631990,info,green,green,green,green,green,green,yellow,info,green,na,red,red,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
0956797616634654,10.1177/0956797616634654,info,green,green,green,green,red,yellow,yellow,info,green,green,na,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
0956797616634665,10.1177/0956797616634665,info,green,green,green,green,red,yellow,na,info,red,na,na,red,yellow,Running the module produced errors: `x` and `y` must share the same src.,na,na,info,,,,,,,,,,,,,,,,,,
0956797616636631,10.1177/0956797616636631,info,green,green,green,green,yellow,yellow,yellow,info,red,red,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797616647519,10.1177/0956797616647519,info,green,green,green,green,yellow,green,yellow,info,green,green,red,green,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
0956797616657319,10.1177/0956797616657319,info,green,green,green,green,red,yellow,na,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797616661199,10.1177/0956797616661199,info,green,green,green,green,yellow,green,na,info,green,green,na,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797616663878,10.1177/0956797616663878,info,green,green,red,red,yellow,yellow,na,info,green,na,na,red,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
0956797616665351,10.1177/0956797616665351,info,green,green,red,red,yellow,green,na,info,green,green,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797616667447,10.1177/0956797616667447,info,green,green,green,green,red,yellow,na,info,green,green,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797616669994,10.1177/0956797616669994,info,green,green,green,green,red,yellow,yellow,info,green,na,na,green,green,Running the module produced errors: `x` and `y` must share the same src.,na,na,info,,,,,,,,,,,,,,,,,,
0956797616671327,10.1177/0956797616671327,info,green,green,green,green,red,green,yellow,info,green,na,na,red,green,info,na,na,info,,,,,,,,,,,,,,,,,,
0956797616671712,10.1177/0956797616671712,info,green,green,green,green,red,yellow,na,info,green,na,red,red,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797617692000,10.1177/0956797617692000,info,green,green,green,green,yellow,green,yellow,info,red,green,na,red,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
0956797617693326,10.1177/0956797617693326,info,green,green,green,green,red,yellow,na,info,green,red,red,red,yellow,info,info,na,info,,,,,,,,,,,,,,,,,,
0956797617694867,10.1177/0956797617694867,info,green,green,green,green,yellow,yellow,yellow,info,green,green,na,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797617702501,10.1177/0956797617702501,info,green,green,green,green,yellow,yellow,yellow,na,green,na,na,na,green,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797617702699,10.1177/0956797617702699,info,green,green,green,green,yellow,yellow,na,info,green,green,red,green,green,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797617705391,10.1177/0956797617705391,info,green,green,green,green,yellow,yellow,yellow,info,green,red,red,green,yellow,na,na,na,info,,,,,,,,,,,,,,,,,,
0956797617705667,10.1177/0956797617705667,info,green,green,green,green,yellow,yellow,na,info,green,green,red,red,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
0956797617707270,10.1177/0956797617707270,info,green,green,green,green,red,green,yellow,info,green,red,red,green,yellow,info,na,na,info,,,,,,,,,,,,,,,,,,
0956797617710785,10.1177/0956797617710785,info,green,green,green,green,yellow,yellow,yellow,info,green,na,red,green,yellow,na,info,na,info,,,,,,,,,,,,,,,,,,
