text,section,header,div,p,s,id,match_test,has_F,match_es,has_es
"For hit rates (see Fig. 3), a 3 (complexity level: simple, intermediate, complex) × 2 (TMS site: hand, lip) × 2 (video type: hand action, mouth action) analysis of variance (ANOVA) revealed a main effect of complexity level, F(2, 38) = 16.58, p < .001, η p 2 = .47; as complexity level increased, hit rates decreased.",results,Results,8,1,1,0956797613520608,"F(2, 38) = 16.58",TRUE,η p 2 = .47,TRUE
"A main effect of video type also occurred, F(1, 19) = 33.56, p < .001, η p 2 = .64; specifically, hit rates were lower for mouth actions than for hand actions.",results,Results,8,1,2,0956797613520608,"F(1, 19) = 33.56",TRUE,η p 2 = .64,TRUE
"There was also a significant interaction between complexity level and video type, F(2, 38) = 36.79, p < .001, η p 2 = .67, with hit rates for mouth actions being more dramatically reduced by increasing complexity than those for hand actions.",results,Results,8,1,3,0956797613520608,"F(2, 38) = 36.79",TRUE,η p 2 = .67,TRUE
"More important, there was a significant interaction between TMS site and video type, F(1, 19) = 6.98, p = .016, η p 2 = .27.",results,Results,8,1,4,0956797613520608,"F(1, 19) = 6.98",TRUE,η p 2 = .27,TRUE
"For response time (RT), a 3 (complexity level) × 2 (TMS site) × 2 (video type) ANOVA revealed a main effect of complexity level, F(2, 38) = 20.82, p < .001, η p 2 = .52, and a significant interaction between complexity level and video type, F(2, 38) = 51.86, p < .001, η p 2 = .73.",results,Results,8,2,1,0956797613520608,"F(2, 38) = 20.82; F(2, 38) = 51.86",TRUE,η p 2 = .52; η p 2 = .73,TRUE
"We found a main effect of judgment on response time (RT); processing was faster in the basic condition (M = 2,305 ms) than in the subordinate condition (M = 3,253 ms), F(1, 26) = 9.277, p = .005, η p 2 = .263.",results,Results,7,2,1,0956797614522816,"F(1, 26) = 9.277",TRUE,η p 2 = .263,TRUE
"There was also a main effect of stimuli type, F(3, 78) = 12.910, p < .001, η p 2 = .332 (Ms = 2,832, 2,709, 3,419, and 2,157 ms for classrooms, pools, restaurants, and roads, respectively), but no interaction between the two factors, F(3, 78) = 1.805, p = .153, η p 2 = .065 (Table 1).",results,Results,7,2,2,0956797614522816,"F(3, 78) = 12.910; F(3, 78) = 1.805",TRUE,η p 2 = .332; η p 2 = .065,TRUE
"We found a main effect of judgment on fixation count, with more fixations made during subordinate categorizations (M = 9.72) than during basic categorizations (M = 5.40), F(1, 26) = 17.906, p < .001, η p 2 = .408.",results,Results,7,2,6,0956797614522816,"F(1, 26) = 17.906",TRUE,η p 2 = .408,TRUE
"There was also a main effect of stimuli type, F(3, 78) = 9.558, p < .001, η p 2 = .269 (Ms = 7.76, 7.23, 9.36, and 5.89 for classrooms, pools, restaurants, and roads, respectively), but no interaction, F(3, 78) = 1.201, p = .315, η p 2 = .044 (Table 1).",results,Results,7,2,7,0956797614522816,"F(3, 78) = 9.558; F(3, 78) = 1.201",TRUE,η p 2 = .269; η p 2 = .044,TRUE
"There was a main effect of judgment, F(1, 26) = 5.720, p = .024, η p 2 = .180, with basic categorizations having longer saccade latencies (M = 421 ms) than subordinate categorizations (M = 352 ms), but no effect of stimuli type or interaction with judgment (Fs < 1; Table 1).",results,Eye movement strategies,8,2,2,0956797614522816,"F(1, 26) = 5.720",TRUE,η p 2 = .180,TRUE
"There was a main effect of judgment on fixation duration, F(1, 26) = 8.246, p = .008, η p 2 = .241 (basic: M = 381 ms; subordinate: M = 300 ms), a trend for stimuli type, F(3, 78) = 2.242, p = .09, η p 2 = .079 (Ms = 329, 354, 341, and 335 ms for classrooms, pools, restaurants, and roads, respectively), as well as a significant interaction, F(3, 78) = 3.207, p = .028, η p 2 = .110.",results,Eye movement strategies,8,3,2,0956797614522816,"F(1, 26) = 8.246; F(3, 78) = 2.242; F(3, 78) = 3.207",TRUE,η p 2 = .241; η p 2 = .079; η p 2 = .110,TRUE
"There was no effect of judgment on saccade amplitudes (F < 1); however, as one would expect given the different layouts between the different category groups, there was a main effect of stimuli type, F(3, 78) = 5.882, p = .001, η p 2 = .184 (Ms = 2.75°, 2.31°, 2.72°, and 2.51° for classrooms, pools, restaurants, and roads, respectively; Table 1).",results,Eye movement strategies,8,3,4,0956797614522816,"F(3, 78) = 5.882",TRUE,F < 1; η p 2 = .184,TRUE
"There was no interaction, F(3, 78) = 1.444, p = .237, η p 2 = .053.",results,Eye movement strategies,8,3,5,0956797614522816,"F(3, 78) = 1.444",TRUE,η p 2 = .053,TRUE
"A three-way mixed-design 2 (judgment: basic, subordinate) × 4 (stimuli type: classroom, pool, restaurant, road) × 5 (ordinal fixation: 1, 2, 3, 4, 5) ANOVA on fixation distance from screen center revealed a critical interaction between judgment and ordinal fixation, F(4, 88) = 3.661, p = .008, η p 2 = .143; this interaction indicates that participants carried out different sampling strategies over the first five fixations depending on the judgment they were assigned to make (Fig.",results,Gaze patterns,9,2,1,0956797614522816,"F(4, 88) = 3.661",TRUE,η p 2 = .143,TRUE
"For the sake of completeness, there was no main effect of judgment, F(1, 22) = 2.163, p = .156, η p 2 = .090, though there was an effect of stimuli type, F(3, 66) = 4.342, p = .007, η p 2 = .165 (Ms = 3.88°, 3.47°, 3.87°, and 3.52° for classrooms, pools, restaurants, and roads, respectively) as well as of ordinal fixation, F(2.286, 50.288) = 42.240, p < .001, η p 2 = .658 (Ms = 2.55°, 3.28°, 3.86°, 4.26°, and 4.48° from the center for Fixations 1 through 5, respectively).",results,Gaze patterns,9,3,2,0956797614522816,"F(1, 22) = 2.163; F(3, 66) = 4.342",TRUE,η p 2 = .090; η p 2 = .165; η p 2 = .658,TRUE
"There was no interaction between stimuli type and ordinal count (F < 1), no interaction between judgment and stimuli type, F(3, 66) = 2.012, p = .121, η p 2 = .084, and no three-way interaction (F < 1).",results,Gaze patterns,9,3,3,0956797614522816,"F(3, 66) = 2.012",TRUE,F < 1; η p 2 = .084; F < 1,TRUE
"Analyses revealed a main effect of judgment on accuracy, F(1, 34) = 9.339, p = .004, η p 2 = .215 (basic: M = .79; subordinate: M = .71) and a main effect of diagnostic information, F(1, 34) = 15.871, p < .001, η p 2 = .318 (basic: M = .71; subordinate: M = .79).",results,Validation of diagnostic objects,11,2,2,0956797614522816,"F(1, 34) = 9.339; F(1, 34) = 15.871",TRUE,η p 2 = .215; η p 2 = .318,TRUE
"There was also a trend for an interaction, F(1, 34) = 3.456, p = .072, η p 2 = .092 (Fig. 6), which was due to a significant change in subordinate categorization accuracy when basic or subordinate diagnostic objects were visible (Ms = .65 and .76, respectively), t(17) = 4.134, p = .001, but no significant difference during basic categorization (basic diagnostic objects: M = .77 and subordinate diagnostic objects: M = .81), t(17) = 1.506, p = .151.",results,Validation of diagnostic objects,11,2,3,0956797614522816,"F(1, 34) = 3.456",TRUE,η p 2 = .092,TRUE
"During these normal viewing conditions, there was a strong trend of judgment on RT, F(1, 26) = 3.568, p = .070, η p 2 = .121, with basic categorization needing less time (1,062 ms) than subordinate categorization (1,272 ms).",results,Behavior verification,12,1,3,0956797614522816,"F(1, 26) = 3.568",TRUE,η p 2 = .121,TRUE
"There was a main effect of stimuli type, F(2.084, 54.188) = 7.080, p = .002, η p 2 = .214 (Ms = 1,269, 1,128, 1,273, and 998 ms for classrooms, pools, restaurants, and roads, respectively) as well as a trend for an interaction, F(3, 78) = 2.596, p = .058, η p 2 = .091, which was due to restaurants taking significantly longer to categorize at the subordinate level (M = 1,471 ms) than at the basic level (M = 1,075 ms), t(26) = 3.00, p = .006.",results,Behavior verification,12,1,4,0956797614522816,"F(3, 78) = 2.596",TRUE,η p 2 = .214; η p 2 = .091,TRUE
"Fixation counts showed a similar pattern of results, with basic categorization requiring fewer fixations (M = 2.95) than subordinate categorization (M = 4.01), F(1, 26) = 5.391, p = .028, η p 2 = .172.",results,Behavior verification,12,2,1,0956797614522816,"F(1, 26) = 5.391",TRUE,η p 2 = .172,TRUE
"There was also a main effect of stimuli type, F(1.909, 49.641) = 8.239, p = .001, η p 2 = .241 (Ms = 3.96, 3.21, 3.85, and 2.89 for classrooms, pools, restaurants, and roads, respectively), and a trend for an interaction, F(3, 78) = 2.637, p = .055, η p 2 = .092, which was due to significantly more fixations during subordinate than during basic decisions for pools (basic: M = 2.52; subordinate: M = 3.91), t(26) = 1.901, p = .068, and for restaurants (basic: M = 3.01; subordinate: M = 4.69), t(26) = 3.363, p = .002.",results,Behavior verification,12,2,2,0956797614522816,"F(3, 78) = 2.637",TRUE,η p 2 = .241; η p 2 = .092,TRUE
"For initial saccade latency, there was no main effect of judgment, F(1, 26) = 1.708, p = .203, η p 2 = .062, or stimuli type, nor was there an interaction between the two for initial saccade latency (Fs < 1).",results,Behavior verification,12,3,2,0956797614522816,"F(1, 26) = 1.708",TRUE,η p 2 = .062,TRUE
"There was no interaction, F(3, 78) = 1.276, p = .288, η p 2 = .047.",results,Behavior verification,12,3,4,0956797614522816,"F(3, 78) = 1.276",TRUE,η p 2 = .047,TRUE
"No main effect of saccade amplitude on judgment appeared, F(1, 26) = 1.122, p = .299, η p 2 = .041, but there was an effect of stimuli type, F(3, 78) = 20.836, p < .001, η p 2 = .445 (Ms = 4.06°, 3.33°, 4.31°, and 3.44° for classrooms, pools, restaurants, and roads, respectively), and an interaction, F(3, 78) = 4.869, p = .004, η p 2 = .158, with restaurants having a trend for longer saccades during subordinate categorizations (M = 4.62°) than during basic categorizations (M = 3.99°), t(26) = 1.735, p = .094.",results,Behavior verification,12,3,5,0956797614522816,"F(1, 26) = 1.122; F(3, 78) = 20.836; F(3, 78) = 4.869",TRUE,η p 2 = .041; η p 2 = .445; η p 2 = .158,TRUE
