text,section,header,div,p,s,id,match_test,has_t,match_es,has_es
"This interaction occurred because participants in the basic condition had numerically longer fixations when categorizing pool scenes (M = 383 ms) compared with participants in the subordinate condition (M = 325 ms), t(26) = 1.598, p = .122; fixation durations for all other scenes were significant, ts > 2.370, ps < .025 (Table 1).",results,Eye movement strategies,8,3,3,0956797614522816,t(26) = 1.598,TRUE,,FALSE
"There was also a trend for an interaction, F(1, 34) = 3.456, p = .072, η p 2 = .092 (Fig. 6), which was due to a significant change in subordinate categorization accuracy when basic or subordinate diagnostic objects were visible (Ms = .65 and .76, respectively), t(17) = 4.134, p = .001, but no significant difference during basic categorization (basic diagnostic objects: M = .77 and subordinate diagnostic objects: M = .81), t(17) = 1.506, p = .151.",results,Validation of diagnostic objects,11,2,3,0956797614522816,t(17) = 4.134; t(17) = 1.506,TRUE,η p 2 = .092,TRUE
"There was a main effect of stimuli type, F(2.084, 54.188) = 7.080, p = .002, η p 2 = .214 (Ms = 1,269, 1,128, 1,273, and 998 ms for classrooms, pools, restaurants, and roads, respectively) as well as a trend for an interaction, F(3, 78) = 2.596, p = .058, η p 2 = .091, which was due to restaurants taking significantly longer to categorize at the subordinate level (M = 1,471 ms) than at the basic level (M = 1,075 ms), t(26) = 3.00, p = .006.",results,Behavior verification,12,1,4,0956797614522816,t(26) = 3.00,TRUE,η p 2 = .214; η p 2 = .091,TRUE
"There was also a main effect of stimuli type, F(1.909, 49.641) = 8.239, p = .001, η p 2 = .241 (Ms = 3.96, 3.21, 3.85, and 2.89 for classrooms, pools, restaurants, and roads, respectively), and a trend for an interaction, F(3, 78) = 2.637, p = .055, η p 2 = .092, which was due to significantly more fixations during subordinate than during basic decisions for pools (basic: M = 2.52; subordinate: M = 3.91), t(26) = 1.901, p = .068, and for restaurants (basic: M = 3.01; subordinate: M = 4.69), t(26) = 3.363, p = .002.",results,Behavior verification,12,2,2,0956797614522816,t(26) = 1.901; t(26) = 3.363,TRUE,η p 2 = .241; η p 2 = .092,TRUE
"No main effect of saccade amplitude on judgment appeared, F(1, 26) = 1.122, p = .299, η p 2 = .041, but there was an effect of stimuli type, F(3, 78) = 20.836, p < .001, η p 2 = .445 (Ms = 4.06°, 3.33°, 4.31°, and 3.44° for classrooms, pools, restaurants, and roads, respectively), and an interaction, F(3, 78) = 4.869, p = .004, η p 2 = .158, with restaurants having a trend for longer saccades during subordinate categorizations (M = 4.62°) than during basic categorizations (M = 3.99°), t(26) = 1.735, p = .094.",results,Behavior verification,12,3,5,0956797614522816,t(26) = 1.735,TRUE,η p 2 = .041; η p 2 = .445; η p 2 = .158,TRUE
"Examining paired comparisons between the pre-and postresponse conditions, only preresponse TMS was found to interfere with metacognitive efficiency, preresponse: t(34) = 3.12, p = .004; postresponse: t(34) = 0.95, p = .35, and when compared with an optimal meta-d′/d′ value of 1, only incongruent TMS delivered before the response led to suboptimal metacognitive efficiency (95% CI = [0.54, 0.86]).",results,Metacognitive Efficiency,8,4,3,0956797614557697,t(34) = 3.12; t(34) = 0.95,TRUE,,FALSE
"One-sample t tests comparing performance with chance (50%) revealed that participants' performance was significantly above chance, both when distractors were of the valence opposite that of the target, t(28) = 7.30, p < .001, Cohen's d = 1.36 (mean difference = 27.22, 95% confidence interval, CI, of the difference = [19.58, 34.86]), and when distractors were of the same valence as the target, t(28) = 4.05, p < .001, Cohen's d = 0.75 (mean difference = 13.45, 95% CI of the difference = [6.64, 20.26]; see Fig.",intro,Commentary,1,4,2,0956797614560771,t(28) = 7.30; t(28) = 4.05,TRUE,Cohen's d = 1.36; Cohen's d = 0.75,TRUE
"We repeated our analysis including all eight valenced emotions and found that participants' recognition was again significantly better than chance, both when the distractor and target were of opposite valence, t(28) = 8.30, p < .001, Cohen's d = 1.54 (mean difference = 21.37, 95% CI of the difference = [16.09, 26.64]), and when they had the same valence, t(28) = 2.79, p < .01, Cohen's d = 0.52 (mean difference = 6.71, 95% CI of the difference = [1.79, 11.63]; see Fig.",intro,Commentary,1,5,5,0956797614560771,t(28) = 8.30; t(28) = 2.79,TRUE,Cohen's d = 1.54; Cohen's d = 0.52,TRUE
"On average, males had lower self-control scores (M = 29.54) than females (M = 33.63), t(6703) = -17.1, p < .0001, which supports the rationale for controlling for gender in our models.",results,Results,7,1,3,0956797615569001,t(6703) = -17.1,TRUE,,FALSE
"As in Study 1, males had lower selfcontrol scores (M = 11.23) on average than females (M = 12.09), t(10105) = -27.7, p < .0001, and better self-control correlated with higher intelligence (r = .39, p < .01) and to a lesser extent with higher parental social class (r = .13, p < .01).",results,Results,12,1,3,0956797615569001,t(10105) = -27.7,TRUE,r = .39; r = .13,TRUE
"As expected, prior to the intervention (at baseline: Day 0), we confirmed that the two groups experienced a similar number of intrusive memories of the film in daily life, t(50) = 0.06, p = .95 (Fig. 1a).",results,Results,6,2,2,0956797615583071,t(50) = 0.06,TRUE,,FALSE
"Critically and as predicted, after the intervention (Days 1-7; Fig. 1b), participants in the reactivation-plus-Tetris group overall had fewer intrusive memories in daily life than did those in the control group, t(50) = 4.11, p < .001, d = 1.14.",results,Results,6,3,2,0956797615583071,t(50) = 4.11,TRUE,d = 1.14,TRUE
