variable,type_paper,type_data,type_comparison,N_paper,N_data,N_difference,N_comparison,mean_paper,mean_data,mean_difference,mean_percentage_difference,mean_comparison,sd_paper,sd_data,sd_difference,sd_percentage_difference,sd_comparison,n_unique_paper,n_unique_data,n_unique_difference,n_unique_percentage_difference,n_unique_comparison
id,NA,numeric,missing in paper,NA,80,NA,missing in paper,NA,40.5,NA,NA,NA,NA,23.2379000772445,NA,NA,NA,NA,80,NA,NA,missing in paper
condition,non_numeric,numeric,mismatch,80,80,0,match,NA,1.5125,NA,NA,NA,NA,0.502997345036655,NA,NA,NA,2,2,0,0,match
age,numeric,numeric,match,80,80,0,match,25.26,25.625,0.36499999999999844,1.4449722882026859,mismatch,6.59,6.87386354243376,0.28386354243376033,4.307489263031265,mismatch,80,21,59,73.75,mismatch
sex,non_numeric,numeric,mismatch,80,80,0,match,NA,1.575,NA,NA,NA,NA,0.497461912542438,NA,NA,NA,2,2,0,0,match
stai_s_y_pre,numeric,numeric,match,80,80,0,match,NA,31.5875,NA,NA,missing in paper,NA,5.34788198936288,NA,NA,missing in paper,80,21,59,73.75,mismatch
sss_total,numeric,numeric,match,80,80,0,match,21.01,20.95,0.060000000000002274,0.285578296049511,match,NA,6.45510297597023,NA,NA,missing in paper,80,24,56,70,mismatch
bart,numeric,numeric,match,80,80,0,match,35.73,35.6165,0.11349999999999483,0.31766022949900596,match,NA,16.4455744576012,NA,NA,missing in paper,80,80,0,0,match
stai_s_y_during,numeric,numeric,match,80,80,0,match,NA,31.975,NA,NA,missing in paper,NA,7.11741490547719,NA,NA,missing in paper,80,25,55,68.75,mismatch
stai_s_y_post,numeric,numeric,match,80,80,0,match,NA,30.7125,NA,NA,missing in paper,NA,6.59534502125303,NA,NA,missing in paper,80,21,59,73.75,mismatch
cycling_frequency,numeric,numeric,match,80,80,0,match,NA,2.925,NA,NA,missing in paper,NA,1.49915588063096,NA,NA,missing in paper,6,6,0,0,match
helmet_use_likelihood,numeric,numeric,match,80,80,0,match,NA,2.75,NA,NA,missing in paper,NA,2.53332222960036,NA,NA,missing in paper,6,8,2,33.33333333333333,mismatch
