"paper_id","success","error","elapsed_ms","download_ms","llm_ms","column_ms","n_files","n_data_files","n_agg_dirs","n_raw","n_nonraw","n_columns","n_src_files"
"0956797613520608",FALSE,"download_failed: OSF download produced no directory for paper 0956797613520608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797614522816",FALSE,"download_failed: OSF download produced no directory for paper 0956797614522816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797614527830",FALSE,"download_failed: OSF download produced no directory for paper 0956797614527830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797614557697",TRUE,NA,9191,11,8903,72,6,5,0,0,5,5,5
"0956797614560771",FALSE,"download_failed: OSF download produced no directory for paper 0956797614560771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797614566469",FALSE,"download_failed: OSF download produced no directory for paper 0956797614566469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797615569001",FALSE,"download_failed: OSF download produced no directory for paper 0956797615569001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797615569889",FALSE,"download_failed: OSF download produced no directory for paper 0956797615569889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797615583071",TRUE,NA,60637,21,45740,14629,38,2,0,0,2,56,2
"0956797615588467",FALSE,"download_failed: OSF download produced no directory for paper 0956797615588467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797615603702",FALSE,"download_failed: OSF download produced no directory for paper 0956797615603702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797615615584",FALSE,"download_failed: OSF download produced no directory for paper 0956797615615584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797615617779",FALSE,"download_failed: OSF download produced no directory for paper 0956797615617779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797615620784",TRUE,NA,17725,5,8519,9077,3,1,0,0,1,11,1
"0956797615625973",FALSE,"download_failed: OSF download produced no directory for paper 0956797615625973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797616631990",FALSE,"download_failed: OSF download produced no directory for paper 0956797616631990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797616634654",FALSE,"download_failed: OSF download produced no directory for paper 0956797616634654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797616634665",FALSE,"download_failed: OSF download produced no directory for paper 0956797616634665",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797616636631",TRUE,NA,5793,12,5575,3,7,0,0,0,0,0,0
"0956797616647519",TRUE,NA,31894,17,20511,11099,18,8,0,0,8,141,8
"0956797616657319",FALSE,"download_failed: OSF download produced no directory for paper 0956797616657319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797616661199",TRUE,NA,111770,16,34994,76579,17,15,0,0,15,954,15
"0956797616663878",TRUE,NA,5829,6,5569,19,3,3,0,0,3,3,3
"0956797616665351",TRUE,NA,11487,6,6590,4656,2,2,0,2,0,14,2
"0956797616667447",FALSE,"download_failed: OSF download produced no directory for paper 0956797616667447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797616669994",FALSE,"download_failed: OSF download produced no directory for paper 0956797616669994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797616671327",FALSE,"download_failed: OSF download produced no directory for paper 0956797616671327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797616671712",FALSE,"download_failed: OSF download produced no directory for paper 0956797616671712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617692000",TRUE,NA,61445,13,14633,46544,11,3,0,0,3,148,3
"0956797617693326",FALSE,"download_failed: OSF download produced no directory for paper 0956797617693326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617694867",TRUE,NA,28427,10,13940,14274,9,6,0,0,6,69,6
"0956797617702501",FALSE,"download_failed: OSF download produced no directory for paper 0956797617702501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617702699",FALSE,"download_failed: OSF download produced no directory for paper 0956797617702699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617705391",TRUE,NA,36238,57,12901,23051,7,6,0,0,6,113,5
"0956797617705667",FALSE,"download_failed: OSF download produced no directory for paper 0956797617705667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617707270",FALSE,"download_failed: OSF download produced no directory for paper 0956797617707270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617710785",FALSE,"download_failed: OSF download produced no directory for paper 0956797617710785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617714811",FALSE,"download_failed: OSF download produced no directory for paper 0956797617714811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617716922",FALSE,"download_failed: OSF download produced no directory for paper 0956797617716922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617716929",TRUE,NA,18238,39,9348,8653,6,3,0,0,3,77,2
"0956797617724435",TRUE,NA,29184,13,28925,18,19,2,0,0,2,10,2
"0956797617736886",FALSE,"download_failed: OSF download produced no directory for paper 0956797617736886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617737129",TRUE,NA,75892,9,10803,64840,10,5,0,0,5,7494,5
"0956797617739368",TRUE,NA,148345,29,115078,33047,55,8,0,0,8,264,8
"0956797617740685",FALSE,"download_failed: OSF download produced no directory for paper 0956797617740685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797617744542",FALSE,"download_failed: OSF download produced no directory for paper 0956797617744542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797618755322",TRUE,NA,261361,158,183909,77072,460,240,2,238,2,2630,240
"0956797618760197",TRUE,NA,117871,88,109302,8188,180,1,0,0,1,23,1
"0956797618772822",FALSE,"Can't convert from `value` <labelled<double>> to <labelled<double>> due to loss of precision.
[36m•[39m Locations: 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797618773095",FALSE,"arguments imply differing number of rows: 0, 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797618785899",TRUE,NA,5641,20,5360,2,3,0,0,0,0,0,0
"0956797618795679",FALSE,"download_failed: OSF download produced no directory for paper 0956797618795679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797618796480",FALSE,"download_failed: OSF download produced no directory for paper 0956797618796480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0956797618804501",FALSE,"download_failed: OSF download produced no directory for paper 0956797618804501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
